corpus,acf_1,acf_2,acf_4,acf_8,acf_16,acf_32,acf_64,acf_77,acf_256,acf_1024,acf_4096,acf_8192,stat_spread_h0,stat_spread_h2,nibble_cmi
enwik8,0.21062,0.07260,0.07035,0.03927,0.04682,0.03418,0.02946,0.03667,0.01736,0.00838,0.00421,0.00211,0.00613,0.00967,0.9397
calgary,0.42870,0.37706,0.40952,0.39828,0.37420,0.34103,0.29560,0.23286,0.31037,0.28111,0.26379,0.27252,0.31191,0.46662,0.8312
canterbury,0.48376,0.54919,0.44569,0.42684,0.40655,0.38845,0.34273,0.33149,0.37144,0.35138,0.37525,0.34637,0.29951,0.30099,0.5902
scripts_src,0.52986,0.44012,0.33453,0.23512,0.19805,0.18842,0.16671,0.17396,0.10582,-0.00708,0.00610,0.00823,0.01176,0.00760,0.8661
sqlite_synth,0.24973,0.21407,0.12969,-0.06355,-0.00461,0.03017,-0.03759,0.09675,-0.08074,0.02721,0.13096,0.14936,0.02229,0.12184,0.7182
telemetry_grid,-0.00481,-0.00024,0.39742,0.35903,0.30474,0.24079,0.17134,-0.00332,0.03271,-0.01302,-0.01735,0.39614,0.00107,0.00232,0.2608
ctrl_urandom,0.00050,0.00033,0.00066,-0.00008,0.00012,-0.00062,0.00053,-0.00018,-0.00002,-0.00011,-0.00010,0.00083,0.00000,0.00004,0.0000
ctrl_zstd,0.00248,0.00340,0.00214,0.00227,0.00155,0.00130,0.00049,0.00046,-0.00000,0.00054,0.00038,-0.00033,0.00004,0.00003,0.0002
ctrl_base64,-0.00172,-0.00152,-0.00143,-0.00156,-0.00068,-0.00136,-0.00215,0.12296,-0.00088,-0.00165,-0.00173,-0.00187,0.00000,0.00012,0.4002
