p,D,n,t,identity_resid,P_j_le_nR,clt_band,gap_mean_bits,gap_quantile_bits,O1_remainder_bits
0.48,0.25,8,2,3.197442310920451e-14,0.5436800671743998,0.285143192749694,1.2809209342496721,1.2830036634926993,-0.3373083808470654
0.48,0.25,12,3,1.9957369090661814e-12,0.5539965268833973,0.23281844195494072,1.5114748210862397,1.5227113504049528,-0.3992357443710759
0.48,0.25,16,4,6.202327540449915e-11,0.5626078618896002,0.2016266852024914,1.6831007560225915,1.6945649221420291,-0.43512855907414605
0.48,0.25,20,5,2.4347990290607413e-10,0.5701418180688458,0.1803403896762887,1.82029736398745,1.8345054058237693,-0.45889599855296836
0.45,0.2,10,2,5.3290705182007514e-14,0.6214209454492186,0.25991335311914526,1.4141069168662903,1.438130715707553,-0.25067710042618785
0.45,0.2,15,3,2.296829393344524e-12,0.546120712823532,0.21221836415924286,1.6611173688677536,1.7001668514700246,-0.29614789878530257
0.45,0.2,20,4,5.0107473725802265e-11,0.49398096186609597,0.18378649451148132,1.8435490821398857,1.8699820966381662,-0.3212349351525925
