corpus,tool,bpb,enc_mb_s,dec_mb_s
text,gzip-9,2.8311538696289062,25.863650747642655,155.58853160384953
text,bz2-9,2.2441329956054688,17.450817550858172,36.02822568336108
text,xz-6,2.309906005859375,3.663533686565668,47.988283460476964
text,xz-9e,2.31011962890625,3.455546694363675,47.70392422215223
text,zstd-19,2.3857498168945312,3.934352781788408,100.66289643908597
text,zstd-22u,2.3857269287109375,3.90780824415334,96.99195955563516
text,brotli-11,2.2358474731445312,0.7129086401212135,75.43599349801674
code,gzip-9,1.959503173828125,10.148647307255743,156.10680992601732
code,bz2-9,1.566986083984375,19.2181226833829,34.76922301614049
code,xz-6,1.5565185546875,4.1208923628999825,56.25118639081516
code,xz-9e,1.55120849609375,3.569511572185519,56.29094432914071
code,zstd-19,1.5920181274414062,4.015062258548024,102.3367094657373
code,zstd-22u,1.5902481079101562,3.880496648700028,104.35712410804545
code,brotli-11,1.5279998779296875,0.8212023755997774,94.60800504287211
