corpus,size_mb,W,HBITS,passes,coded_ce_bpb,weight_overhead_bpb,effective_bpb,train_time_s,per_pass_time_s
text,0.5,12,22,1,2.131368479509907,0.0,2.131368479509907,0.0,
text,0.5,12,22,2,2.157136853927051,0.203125,2.360261853927051,286.8566216659383,152.8;134.1
text,0.5,12,22,3,2.1558680299478308,0.203125,2.3589930299478308,461.33909204095835,154.7;152.4;154.2
code,0.5,12,22,1,1.5787717879811405,0.0,1.5787717879811405,0.0,
code,0.5,12,22,2,1.6127886554787316,0.203125,1.8159136554787316,255.94703929196112,129.4;126.6
code,0.5,12,22,3,1.612020679572492,0.203125,1.815145679572492,378.08372008398874,126.7;124.6;126.7
