coder,n_runs,bpb,ratio,enc_s,dec_s,enc_MBps,dec_MBps,enc_peak_rss_MB,dec_peak_rss_MB,roundtrip_ok,n_censored,censor_phase,n_failed
rnr1-ref,2,8.0039,1.00049,1006.092,0.152,0.017,110.322,353.4,106.9,True,0,,0
zstd-19,1,8.0002,1.00002,2.988,0.026,5.615,636.077,122.2,13.3,True,0,,0
zstd-22u,1,8.0002,1.00002,1.417,0.034,11.836,495.522,306.8,21.4,True,0,,0
xz-6,2,8.0004,1.00005,7.145,0.049,2.348,340.307,99.2,10.2,True,0,,0
xz-9e,1,8.0004,1.00005,5.813,0.052,2.886,320.129,220.3,18.6,True,0,,0
brotli-q11,1,8.0,1.0,68.055,0.037,0.247,457.859,165.2,29.0,True,0,,0
brotli-q9,1,8.0,1.0,2.948,0.033,5.69,513.037,61.9,30.0,True,0,,0
gzip-9,1,8.0025,1.00031,0.729,0.025,23.019,683.489,1.6,1.4,True,0,,0
bzip2-9,1,8.0359,1.00449,6.312,3.612,2.658,4.645,7.9,5.0,True,0,,0
