coder,n_runs,bpb,ratio,enc_s,dec_s,enc_MBps,dec_MBps,enc_peak_rss_MB,dec_peak_rss_MB,roundtrip_ok,n_censored,censor_phase,n_failed
rnr1-fast,3,7.977,0.99713,106.174,1.005,4.709,497.678,1813.7,1653.0,True,0,,0
zstd-19,3,7.926,0.99074,64.213,0.298,7.787,1677.154,290.0,13.5,True,0,,0
zstd-22u,3,7.9279,0.99099,96.548,0.318,5.179,1571.795,1647.9,139.3,True,0,,0
xz-6,3,7.9394,0.99242,124.144,4.152,4.028,120.412,99.2,10.2,True,0,,0
xz-9e,3,7.9385,0.99231,194.569,4.183,2.57,119.521,707.4,68.9,True,0,,0
brotli-q11,3,7.8995,0.98744,744.868,1.732,0.671,288.702,271.3,30.7,True,0,,0
gzip-9,3,7.9587,0.99483,7.77,0.537,64.346,930.527,1.6,1.4,True,0,,0
bzip2-9,3,7.9477,0.99346,32.386,15.74,15.439,31.766,8.8,5.0,True,0,,0
rnr1-fast-mt8,3,7.977,0.99713,27.492,0.623,18.187,802.317,2546.8,2474.5,True,0,,0
