coder,n_runs,bpb,ratio,enc_s,dec_s,enc_MBps,dec_MBps,enc_peak_rss_MB,dec_peak_rss_MB,roundtrip_ok,n_censored,censor_phase,n_failed
rnr1-fast,3,8.0039,1.00049,106.222,0.637,4.707,784.686,2114.9,1521.2,True,0,,0
zstd-19,3,7.9999,0.99998,61.076,0.276,8.186,1809.17,290.1,13.5,True,0,,0
zstd-22u,3,7.9999,0.99998,93.32,0.279,5.358,1789.411,1697.6,139.2,True,0,,0
xz-6,3,8.0002,1.00003,124.853,0.777,4.005,643.697,99.2,10.2,True,0,,0
xz-9e,3,8.0002,1.00003,194.996,0.795,2.564,629.271,707.4,68.9,True,0,,0
brotli-q11,3,8.0,1.0,479.973,0.313,1.042,1595.455,181.3,29.0,True,0,,0
gzip-9,3,8.0012,1.00015,7.483,0.399,66.818,1254.464,1.6,1.4,True,0,,0
bzip2-9,3,8.0326,1.00407,33.496,15.929,14.927,31.39,7.9,5.0,True,0,,0
rnr1-fast-mt8,3,8.0039,1.00049,27.541,0.485,18.155,1030.251,2755.4,1521.5,True,0,,0
