coder,n_runs,bpb,ratio,enc_s,dec_s,enc_MBps,dec_MBps,enc_peak_rss_MB,dec_peak_rss_MB,roundtrip_ok,n_censored,censor_phase,n_failed
zstd-19,1,8.0002,1.00002,9.373,0.064,5.37,792.423,172.6,13.3,True,0,,0
xz-6,1,8.0004,1.00005,17.809,0.134,2.826,376.771,99.2,10.2,True,0,,0
gzip-9,1,8.0024,1.00031,1.104,0.103,45.611,489.766,1.6,1.4,True,0,,0
bzip2-9,1,8.0355,1.00443,3.755,2.096,13.405,24.016,8.0,5.0,True,0,,0
