coder,n_runs,bpb,ratio,enc_s,dec_s,enc_MBps,dec_MBps,enc_peak_rss_MB,dec_peak_rss_MB,roundtrip_ok,n_censored,censor_phase,n_failed
rnr1-fast,3,3.4853,0.43566,62.108,59.996,8.05,8.334,962.9,1178.9,True,0,,0
zstd-19,3,1.9874,0.24842,211.879,0.663,2.36,753.675,231.6,13.4,True,0,,0
zstd-22u,3,1.8061,0.22576,276.268,0.599,1.81,834.505,1302.8,139.2,True,0,,0
xz-6,3,1.9433,0.24291,163.042,4.371,3.067,114.394,99.4,10.2,True,0,,0
xz-9e,3,1.7919,0.22398,262.348,4.185,1.906,119.472,707.4,68.9,True,0,,0
brotli-q11,3,1.8894,0.23617,671.575,1.048,0.745,477.217,387.5,20.3,True,0,,0
gzip-9,3,2.7176,0.3397,15.559,0.909,32.136,549.837,1.6,1.4,True,0,,0
bzip2-9,3,2.1426,0.26783,22.956,8.853,21.781,56.48,7.9,5.0,True,0,,0
rnr1-fast-mt8,3,3.4853,0.43566,16.539,15.048,30.232,33.227,1187.9,1192.7,True,0,,0
