coder,n_runs,bpb,ratio,enc_s,dec_s,enc_MBps,dec_MBps,enc_peak_rss_MB,dec_peak_rss_MB,roundtrip_ok,n_censored,censor_phase,n_failed
zstd-19,1,7.3845,0.92306,1.834,0.025,9.148,658.105,120.9,13.4,True,0,,0
zstd-22u,1,7.3844,0.92305,1.235,0.026,13.581,646.947,305.5,21.5,True,0,,0
xz-6,1,6.6188,0.82735,3.611,0.491,4.646,34.177,99.2,10.2,True,0,,0
xz-9e,1,6.603,0.82538,2.936,0.474,5.715,35.412,220.3,18.6,True,0,,0
brotli-q11,1,6.8392,0.8549,42.535,0.174,0.394,96.522,232.4,29.4,True,0,,0
brotli-q9,1,7.3578,0.91972,0.9,0.086,18.633,194.85,56.9,29.5,True,0,,0
gzip-9,1,7.3944,0.9243,0.461,0.045,36.428,372.414,1.6,1.4,True,0,,0
bzip2-9,1,7.5823,0.94778,1.09,0.562,15.398,29.861,7.9,5.0,True,0,,0
