coder,n_runs,bpb,ratio,enc_s,dec_s,enc_MBps,dec_MBps,enc_peak_rss_MB,dec_peak_rss_MB,roundtrip_ok,n_censored,censor_phase,n_failed
zstd-19,1,2.4071,0.30089,4.125,0.029,4.067,578.924,110.5,13.4,True,0,,0
zstd-22u,1,2.4068,0.30084,5.225,0.029,3.211,570.451,295.0,21.5,True,0,,0
xz-6,1,2.0792,0.2599,3.664,0.192,4.579,87.563,99.4,10.2,True,0,,0
xz-9e,1,2.0793,0.25991,6.056,0.19,2.77,88.103,220.5,18.6,True,0,,0
brotli-q11,1,2.3252,0.29065,29.889,0.065,0.561,256.273,521.4,20.2,True,0,,0
brotli-q9,1,2.6444,0.33055,3.816,0.062,4.397,269.68,304.7,20.4,True,0,,0
gzip-9,1,3.1408,0.3926,1.814,0.039,9.248,429.774,1.6,1.4,True,0,,0
bzip2-9,1,2.4569,0.30711,0.806,0.348,20.822,48.272,8.0,5.0,True,0,,0
