coder,n_runs,bpb,ratio,enc_s,dec_s,enc_MBps,dec_MBps,enc_peak_rss_MB,dec_peak_rss_MB,roundtrip_ok,n_censored,censor_phase,n_failed
rnr1-fast,3,6.3302,0.79128,106.556,26.898,4.692,18.589,1380.8,1393.8,True,0,,0
zstd-19,3,5.4479,0.68099,148.853,0.508,3.359,984.773,290.0,13.5,True,0,,0
zstd-22u,3,5.3882,0.67352,142.448,0.472,3.51,1059.571,1535.8,139.3,True,0,,0
xz-6,3,5.3803,0.67254,142.675,5.088,3.504,98.267,99.4,10.2,True,0,,0
xz-9e,3,5.3212,0.66516,194.235,5.161,2.574,96.885,707.6,68.9,True,0,,0
brotli-q11,3,5.3581,0.66977,663.775,1.418,0.753,352.631,380.1,28.6,True,0,,0
gzip-9,3,5.9422,0.74278,14.021,0.743,35.661,673.249,1.6,1.4,True,0,,0
bzip2-9,3,5.7211,0.71514,28.902,13.373,17.3,37.388,7.9,5.0,True,0,,0
rnr1-fast-mt8,3,6.3302,0.79128,26.664,5.738,18.752,87.135,1916.1,2187.4,True,0,,0
