coder,n_runs,bpb,ratio,enc_s,dec_s,enc_MBps,dec_MBps,enc_peak_rss_MB,dec_peak_rss_MB,roundtrip_ok,n_censored,censor_phase,n_failed
rnr1-fast,3,7.9993,0.99991,105.974,0.905,4.718,552.788,1926.3,1664.8,True,0,,0
zstd-19,3,7.9797,0.99747,63.053,0.303,7.93,1652.325,290.4,13.5,True,0,,0
zstd-22u,3,7.9815,0.99768,97.125,0.306,5.148,1634.883,1613.9,139.3,True,0,,0
xz-6,3,7.9873,0.99842,125.786,1.814,3.975,275.706,99.4,10.2,True,0,,0
xz-9e,3,7.9868,0.99835,195.595,1.961,2.556,254.979,707.6,68.9,True,0,,0
brotli-q11,3,7.9741,0.99676,681.942,1.261,0.733,396.438,280.9,30.6,True,0,,0
gzip-9,3,7.9875,0.99844,7.92,0.518,63.13,965.238,1.6,1.4,True,0,,0
bzip2-9,3,8.0147,1.00184,33.102,15.94,15.105,31.367,8.8,5.0,True,0,,0
rnr1-fast-mt8,3,7.9993,0.99991,27.716,0.725,18.04,689.94,2608.7,2558.1,True,0,,0
