coder,n_runs,bpb,ratio,enc_s,dec_s,enc_MBps,dec_MBps,enc_peak_rss_MB,dec_peak_rss_MB,roundtrip_ok,n_censored,censor_phase,n_failed
rnr1-fast,3,8.0039,1.00049,106.808,0.66,4.681,758.05,1934.8,1521.2,True,0,,0
zstd-19,3,8.0002,1.00002,75.536,0.367,6.619,1362.382,289.9,13.3,True,0,,0
xz-6,3,8.0004,1.00005,125.706,0.77,3.978,649.43,99.2,10.2,True,0,,0
xz-9e,3,8.0004,1.00005,203.978,0.782,2.451,639.452,707.4,68.9,True,0,,0
brotli-q11,3,8.0,1.0,451.363,0.325,1.108,1539.581,181.8,29.0,True,0,,0
gzip-9,3,8.0024,1.00031,7.053,0.332,70.889,1505.968,1.6,1.4,True,0,,0
bzip2-9,3,8.0353,1.00442,33.806,16.076,14.79,31.103,7.9,5.0,True,0,,0
rnr1-fast-mt8,3,8.0039,1.00049,27.903,0.476,17.919,1050.319,2229.3,1521.5,True,0,,0
