coder,n_runs,bpb,ratio,enc_s,dec_s,enc_MBps,dec_MBps,enc_peak_rss_MB,dec_peak_rss_MB,roundtrip_ok,n_censored,censor_phase,n_failed
zstd-19,1,8.0002,1.00002,1.932,0.02,8.685,859.544,122.3,13.3,True,0,,0
zstd-22u,1,8.0002,1.00002,1.077,0.016,15.579,1036.689,306.8,21.4,True,0,,0
xz-6,1,8.0004,1.00005,5.156,0.051,3.254,328.676,99.2,10.2,True,0,,0
xz-9e,1,8.0004,1.00005,3.718,0.113,4.513,147.883,220.3,18.6,True,0,,0
brotli-q11,1,8.0,1.0,19.317,0.03,0.868,556.128,165.9,29.0,True,0,,0
brotli-q9,1,8.0,1.0,0.475,0.031,35.293,542.98,56.1,29.0,True,0,,0
gzip-9,1,8.0022,1.00028,0.317,0.034,52.902,490.653,1.6,1.4,True,0,,0
bzip2-9,1,8.037,1.00462,1.581,0.663,10.614,25.316,7.9,5.0,True,0,,0
