coder,n_runs,bpb,ratio,enc_s,dec_s,enc_MBps,dec_MBps,enc_peak_rss_MB,dec_peak_rss_MB,roundtrip_ok,n_censored,censor_phase,n_failed
zstd-19,1,5.0154,0.62693,5.6,0.036,2.996,464.336,116.4,13.5,True,0,,0
zstd-22u,1,5.0146,0.62683,5.822,0.037,2.882,452.191,301.0,21.6,True,0,,0
xz-6,1,4.7691,0.59614,10.202,0.385,1.644,43.536,99.4,10.2,True,0,,0
xz-9e,1,4.7526,0.59408,10.943,0.613,1.533,27.349,220.5,18.6,True,0,,0
brotli-q11,1,4.8978,0.61222,27.45,0.097,0.611,173.83,267.0,27.5,True,0,,0
brotli-q9,1,5.0124,0.62655,2.999,0.083,5.594,201.349,250.1,27.3,True,0,,0
gzip-9,1,5.4976,0.6872,0.375,0.046,44.684,361.902,1.6,1.4,True,0,,0
bzip2-9,1,4.6067,0.57584,0.811,0.449,20.697,37.404,7.9,5.0,True,0,,0
