N,mean_redundancy_bits,std
64,4.564389650559434,1.4586921397140369
128,5.53834136875678,1.4644330971093868
256,6.550561458774983,1.4538814422704958
512,7.5471737016671625,1.4487583907649495
1024,8.551776282952195,1.460900590667649
2048,9.569205183973963,1.4447596147110278
4096,10.566615604329627,1.4374381816554387
