source,estimator,delta,N,log2P,rate,E_theory,hits
iid,MC,0.1,150,-3.8879538148106763,0.025919692098737842,0.010412457811455111,27019
iid,MC,0.1,300,-5.774379555809323,0.01924793185269774,0.010412457811455111,7308
iid,MC,0.1,600,-9.247696700701571,0.015412827834502619,0.010412457811455111,658
iid,IS,0.1,150,-3.894206524127758,0.02596137682751839,0.010412457811455111,19611
iid,IS,0.1,300,-5.763495379001855,0.019211651263339517,0.010412457811455111,19900
iid,IS,0.1,600,-9.305514913426524,0.01550919152237754,0.010412457811455111,19846
iid,IS,0.1,1200,-15.984391172868822,0.013320325977390685,0.010412457811455111,19837
iid,IS,0.1,2400,-28.947579951558932,0.012061491646482889,0.010412457811455111,19988
iid,MC,0.18,80,-5.21143121296996,0.0651428901621245,0.032476827062031866,10796
iid,MC,0.18,160,-8.159460227272058,0.050996626420450365,0.032476827062031866,1399
iid,MC,0.18,320,-13.655444164049937,0.04267326301265605,0.032476827062031866,31
iid,IS,0.18,80,-5.199756682630623,0.06499695853288279,0.032476827062031866,19422
iid,IS,0.18,160,-8.158529485990286,0.050990809287439286,0.032476827062031866,19753
iid,IS,0.18,320,-13.7678796678506,0.043024623962033125,0.032476827062031866,19999
iid,IS,0.18,640,-24.659393194662652,0.03853030186666039,0.032476827062031866,19592
iid,IS,0.18,1280,-45.9413854119053,0.035891707353051014,0.032476827062031866,19661
markov,MC,0.1,100,-2.62184354539427,0.026218435453942698,0.008447339209192314,32492
markov,MC,0.1,200,-3.8005757807897003,0.0190028789039485,0.008447339209192314,14353
markov,MC,0.1,400,-5.870703792760672,0.01467675948190168,0.008447339209192314,3418
markov,IS,0.1,100,-2.6190932584096016,0.026190932584096015,0.008447339209192314,10569
markov,IS,0.1,200,-3.786511835972616,0.01893255917986308,0.008447339209192314,10313
markov,IS,0.1,400,-5.860609256254536,0.01465152314063634,0.008447339209192314,10028
markov,IS,0.1,800,-9.67032042448969,0.012087900530612112,0.008447339209192314,9694
markov,MC,0.18,60,-4.115034858765591,0.06858391431275984,0.026163966367303615,11542
markov,MC,0.18,120,-5.7712243986394745,0.04809353665532896,0.026163966367303615,3662
markov,MC,0.18,240,-9.490699401713304,0.0395445808404721,0.026163966367303615,278
markov,IS,0.18,60,-4.10751365683068,0.06845856094717799,0.026163966367303615,9380
markov,IS,0.18,120,-5.744464079794935,0.04787053399829112,0.026163966367303615,10255
markov,IS,0.18,240,-9.592972110234873,0.03997071712597864,0.026163966367303615,9822
markov,IS,0.18,480,-16.09010883184377,0.03352106006634119,0.026163966367303615,10451
