N,a_N,lnP,lnP_RA,mdp_rate,exp_ratio,exp_ratio_pred,lr_over_aN,beta,rse_IS,rse_IS_RA
256,4.0,-9.600980771123831,-8.497807610619583,1.200122596390479,0.8850978679363486,0.8516528337436495,0.275793290126062,0.30859845859348545,0.004769484465824443,0.0045725140548169094
1024,5.656854249492381,-17.519373195401876,-15.937929833883318,1.094960824712617,0.9097317384657562,0.8938700001526111,0.2795623312480552,0.30859845859348545,0.005694515155099435,0.005518329918205329
4096,8.0,-33.307875802953774,-31.029302697404276,1.0408711188423054,0.9315905607721934,0.9243384011117266,0.2848216381936872,0.30859845859348545,0.006832682658414262,0.006656927895749431
16384,11.313708498984761,-64.8607817887147,-61.59686402329753,1.013449715448667,0.9496781001491864,0.9461909921962567,0.288492298145216,0.30859845859348545,0.008131336895379017,0.008063013477492704
