source,K,m,mean_max,Kh,z_std,refined_pred,rel_err,leading_ratio
iid,700,16,1258.6998006286792,1219.916354029567,1.7646654521407608,1.845996799118552,0.0440582275205603,0.7493844193591311
iid,700,64,1271.2740952193365,1219.916354029567,2.336801896808399,2.398307028143313,0.025645228326970772,0.8102490732044053
iid,700,256,1282.4505235211273,1219.916354029567,2.845334753786352,2.8663567506260716,0.007334047597225362,0.8543988333179159
iid,700,1024,1291.9354196683703,1219.916354029567,3.276902085106666,3.278441048021899,0.00046941912106715494,0.8801075292490809
markov,300,64,427.68600259330736,391.9441155113725,2.3913356266526353,2.398307028143313,0.0029068010929670972,0.8291577809237123
markov,300,256,434.31088337417157,391.9441155113725,2.834577848231197,2.8663567506260716,0.011086862229529976,0.8511687432400418
