quantity,empirical,theory,ratio
VarW(0.3),0.29206893865531364,0.3,0.9735631288510455
VarW(0.5),0.47766929571237055,0.5,0.9553385914247411
VarW(1.0),1.0090656566877607,1.0,1.0090656566877607
"Cov(0.3,0.7)",0.2896307543920642,0.3,0.9654358479735474
KS_incr_vs_normal,0.003719443839054981,0.0,
net_surplus_mean,0.7949664276597448,0.7978845608028654,0.996342662477158
KS_vs_halfnormal,0.013669479838035348,0.0,
lindley_drawup_mean,1.238005236141673,1.2533141373155001,0.9877852641105463
KS_vs_supabs_theta,0.02116606684069211,0.0,
evt_block_max_std,2.3538096342406343,2.398307028143313,0.9814463313576965
V_blocks_vs_formula,0.7473230950584159,0.7446507545662455,1.003588716557102
