K,K_over_lnm3,x3_over_sqrtK,z_std,refined_pred,rel_err
1200,3.603336848588287,1.4900215926599394,3.3388714119576086,3.278441048021899,0.01843265230349999
333,0.9999259754832496,2.828531817034109,3.4247262413841653,3.278441048021899,0.044620351935420646
100,0.30027807071569057,5.161586205723426,3.5531320896727467,3.278441048021899,0.0837870919828152
30,0.09008342121470717,9.423723991274072,3.751015682703385,3.278441048021899,0.14414614377971566
10,0.030027807071569056,16.322368749392457,4.060321930824372,3.278441048021899,0.2384916706903222
